player,team,matches,goals,assists,shots
E. Haaland,Man City,28,22,7,98
Igor Thiago,Brentford,29,18,1,67
A. Semenyo,Man City,28,15,4,67
João Pedro,Chelsea,29,14,5,57
H. Ekitiké,Liverpool,26,11,4,63
D. Calvert-Lewin,Leeds,26,10,1,54
D. Welbeck,Brighton,28,10,0,38
V. Gyökeres,Arsenal,28,10,0,42
H. Wilson,Fulham,27,9,6,58
Bruno Guimarães,Newcastle,23,9,4,32
B. Mbeumo,Man Utd,24,9,3,57
C. Palmer,Chelsea,18,9,1,41
M. Rogers,Aston Villa,29,8,5,66
J. Bowen,West Ham,29,8,5,65
Richarlison,Spurs,24,8,3,39
R. Jiménez,Fulham,28,8,3,62
E. Fernández,Chelsea,28,8,3,55
M. Gibbs-White,Nottm Forest,29,8,2,63
B. Šeško,Man Utd,24,8,1,51
O. Watkins,Aston Villa,28,8,1,57
J. Kroupi,Bournemouth,24,8,0,29
J. Mateta,Crystal Palace,23,8,0,54
Bruno Fernandes,Man Utd,26,7,14,64
P. Foden,Man City,25,7,3,51
K. Schade,Brentford,26,7,3,44
N. Woltemade,Newcastle,25,7,2,30
I. Sarr,Crystal Palace,19,7,1,34
J. Anthony,Burnley,28,7,1,38
Z. Flemming,Burnley,20,7,0,31
